AircraftType,MTOW,AssignedAircraftType
DC87,152.0,B763
DC91,52.6,E190
DC92,51.7,E190
DC93,49.896,E190
DC94,51.7,E190
DC95,51.7,E190
DH2T,3.969,AT43
DH60,0.454,AT43
DH80,1.406,AT43
DH82,0.454,AT43
DH83,0.454,AT43
DH87,0.454,AT43
DH88,2.45,AT43
DH89,1.28,AT43
DH8A,15.65,AT43
DH8B,19.5,AT43
DH8C,19.5,AT43
DH8D,29.257,DH8D
DHA3,0.599,AT43
DHC1,0.45,AT43
DHC2,1.406,AT43
DHC3,1.406,AT43
DHC4,20.0,AT76
DHC5,7.258,AT43
DHC6,3.969,AT43
DHC7,24.0,AT76
DIMO,0.77,AT43
DLTA,0.45,AT43
DO27,1.633,AT43
DO28,2.3,AT43
DOVE,2.95,AT43
DR10,0.599,AT43
DR22,1.106,AT43
DR30,0.599,AT43
DR40,1.28,AT43
DT45,2.13,AT43
DV2,0.599,AT43
DV20,1.157,AT43
E110,6.4,AT43
E120,11.5,AT43
E121,5.25,AT43
E135,19.99,AT76
E145,22.0,AT76
E170,38.6,CRJX
E190,51.8,E190
E195,52.29,E190
E2,31.8,DH8D
E200,0.95,AT43
E230,0.95,AT43
E290,56.4,E190
E295,61.5,B734
E300,0.95,AT43
E314,3.13,AT43
E350,2.984,AT43
E35L,22.5,AT76
E3CF,160.0,B763
E3TF,160.0,B763
E400,1.999,AT43
E45X,24.1,AT76
E500,2.13,AT43
E50P,4.75,AT43
E530,7.0,AT43
E545,17.2,AT43
E550,17.2,AT43
E55P,8.15,AT43
E6,152.0,B763
E737,78.3,B738
E75L,40.37,CRJX
E75S,40.37,CRJX
E767,186.88,B763
EA50,2.719,AT43
EBOY,0.454,AT43
ECHO,0.599,AT43
EDGE,0.95,AT43
EFAN,0.454,AT43
EGRT,11.009,AT43
ELIT,6.396,AT43
EM10,5.22,AT43
EPIC,5.67,AT43
EPX1,0.45,AT43
ERCO,0.599,AT43
ESCA,2.984,AT43
ETAR,6.577,AT43
EUFI,21.773,AT76
EUPA,0.599,AT43
EV97,0.45,AT43
EVIC,2.719,AT43
EVOP,2.717,AT43
EVOT,2.984,AT43
EVSS,0.454,AT43
EXPR,1.4,AT43
F1,6.577,AT43
F100,43.09,CRJX
F104,21.773,AT76
F106,21.773,AT76
F111,36.741,CRJX
F117,23.133,AT76
F14,36.741,CRJX
F15,36.741,CRJX
F16,21.773,AT76
F16X,21.773,AT76
F18H,21.773,AT76
F18S,21.773,AT76
F1FV,0.95,AT43
F2,21.773,AT76
F22,36.741,CRJX
F260,1.528,AT43
F26T,2.13,AT43
F27,20.0,AT76
F28,33.0,DH8D
F2TH,19.142,AT43
F35,21.773,AT76
F4,21.773,AT76
F406,4.246,AT43
F5,7.0,AT43
F50,20.82,AT76
F5SA,7.0,AT43
F60,20.82,AT76
F600,3.969,AT43
F70,39.9,CRJX
F8,21.773,AT76
F86,7.0,AT43
F8L,1.247,AT43
F900,22.226,AT76
FA04,0.599,AT43
FA10,8.755,AT43
FA20,12.0,AT43
FA50,18.008,AT43
FA5X,31.751,DH8D
FA7X,31.751,DH8D
FA8X,31.751,DH8D
FBA2,1.247,AT43
FDCT,0.599,AT43
FFLY,3.379,AT43
FGTH,12.0,AT43
FGTL,214.6,A332
FLSS,0.599,AT43
FU24,0.45,AT43
FURY,2.858,AT43
G109,0.77,AT43
G115,1.315,AT43
G120,1.656,AT43
G12T,2.13,AT43
G140,2.13,AT43
G150,11.839,AT43
G159,13.64,AT43
G160,3.402,AT43
G164,0.45,AT43
G180,0.599,AT43
G200,0.95,AT43
G202,0.95,AT43
G21,2.45,AT43
G21M,3.062,AT43
G21T,5.67,AT43
G222,20.0,AT76
G250,17.962,AT43
G280,17.962,AT43
G2GL,5.22,AT43
G2T1,0.45,AT43
G3,0.599,AT43
G44,1.157,AT43
G4SG,5.22,AT43
G73,3.379,AT43
G73T,3.969,AT43
GA10,3.402,AT43
GA20,1.157,AT43
GA5C,31.751,DH8D
GA6C,41.957,CRJX
GA7,1.542,AT43
GA8,1.315,AT43
GALX,17.962,AT43
GC1,1.406,AT43
GENI,1.315,AT43
GL5T,41.957,CRJX
GL7T,45.132,E190
GLAS,1.528,AT43
GLEX,45.132,E190
GLF2,31.751,DH8D
GLF3,31.751,DH8D
GLF4,31.751,DH8D
GLF5,41.277,CRJX
GLF6,45.132,E190
GLSP,1.315,AT43
GLST,1.315,AT43
GM17,2.13,AT43
GNAT,5.22,AT43
GOLF,0.599,AT43
GP1,0.599,AT43
GP4,1.4,AT43
GRIZ,3.402,AT43
GSPN,6.396,AT43
GY80,0.599,AT43
H25A,9.848,AT43
H25B,12.701,AT43
H25C,11.839,AT43
H40,0.45,AT43
HA4T,17.917,AT43
HAR,7.0,AT43
HAWK,6.577,AT43
HDJT,5.67,AT43
HELI,1.106,AT43
HERN,1.785,AT43
HF20,9.848,AT43
HR10,1.528,AT43
HR20,0.599,AT43
HRNT,0.599,AT43
