,0,1,2,3,4,5,6,7,8,9
159,56776,36554.0,63470.0,46706.0,39605.0,60630.0,53527.0,50172.0,42845.0,
160,56769,66151.0,49834.0,36555.0,42712.0,60343.0,39480.0,46553.0,63354.0,53241.0
161,44007,54508.0,36556.0,40302.0,58449.0,62295.0,66077.0,49822.0,,
162,49828,64998.0,43207.0,53556.0,36597.0,60826.0,,,,
163,40481,66243.0,53097.0,49172.0,36634.0,44028.0,,,,
164,40296,55439.0,47926.0,43609.0,36636.0,,,,,
165,42690,66244.0,53095.0,63471.0,60370.0,49335.0,39832.0,36637.0,,
166,61161,40042.0,44010.0,52781.0,66319.0,57331.0,49052.0,36638.0,,
167,42564,49830.0,67414.0,65783.0,58136.0,36670.0,,,,
168,42562,36676.0,55755.0,47152.0,39953.0,62291.0,59034.0,50171.0,,
169,51683,36677.0,66226.0,48534.0,40343.0,59736.0,44026.0,62844.0,,
170,36680,59281.0,62837.0,,,,,,,
171,40850,66903.0,36775.0,,,,,,,
172,66082,61155.0,39847.0,36776.0,63469.0,49489.0,53523.0,42713.0,56506.0,46395.0
173,36779,58005.0,,,,,,,,
174,52946,45042.0,61892.0,36925.0,,,,,,
175,43493,64778.0,61461.0,53558.0,50170.0,57372.0,36926.0,,,
176,36928,46252.0,56822.0,,,,,,,
177,36929,55140.0,47997.0,39955.0,58612.0,43350.0,62043.0,51101.0,,
178,53857,36930.0,57999.0,40338.0,44693.0,62166.0,66457.0,49823.0,,
179,36931,54342.0,45192.0,64978.0,41273.0,49915.0,,,,
180,42691,36932.0,66084.0,56775.0,50028.0,46708.0,60628.0,39830.0,63353.0,53247.0
181,48384,52097.0,58274.0,54948.0,36933.0,43629.0,62932.0,39833.0,66012.0,
182,36934,44008.0,40041.0,53738.0,64777.0,48850.0,58459.0,,,
183,40577,45188.0,56198.0,50759.0,36935.0,60203.0,,,,
184,36936,54667.0,65773.0,63229.0,46271.0,,,,,
185,36937,40297.0,60620.0,64270.0,47923.0,56343.0,52504.0,44478.0,,
186,65940,58749.0,36966.0,50599.0,,,,,,
187,36969,,,,,,,,,
188,57121,37026.0,43203.0,52367.0,62967.0,67325.0,,,,
189,66147,37030.0,40040.0,50024.0,61295.0,63631.0,57333.0,53245.0,,
190,58753,64776.0,37035.0,46381.0,54681.0,,,,,
191,37121,53861.0,49831.0,46058.0,61458.0,40597.0,,,,
192,41729,67143.0,62574.0,37206.0,58907.0,,,,,
193,37207,,,,,,,,,
194,40721,43775.0,49145.0,37303.0,,,,,,
195,45507,63625.0,40851.0,37307.0,54332.0,,,,,
196,51490,63212.0,57106.0,42394.0,37406.0,66458.0,,,,
197,59589,47912.0,67145.0,37581.0,63864.0,41274.0,51708.0,,,
198,37585,40966.0,46695.0,,,,,,,
199,58908,37590.0,48111.0,,,,,,,
200,54306,41543.0,64557.0,61556.0,66517.0,46551.0,37721.0,,,
201,57863,63211.0,66835.0,42263.0,37722.0,47294.0,52350.0,,,
202,60039,45683.0,37748.0,52248.0,67002.0,,,,,
203,37987,,,,,,,,,
204,64416,38539.0,45709.0,56078.0,61167.0,66799.0,51710.0,,,
205,42560,48227.0,61164.0,38550.0,54015.0,,,,,
206,38578,59749.0,50762.0,42103.0,,,,,,
207,50944,59590.0,47271.0,66323.0,38580.0,,,,,
208,45194,61772.0,53555.0,38740.0,57370.0,65470.0,,,,
209,60032,46691.0,67269.0,53130.0,63883.0,38741.0,,,,
210,67183,62838.0,59286.0,55478.0,39165.0,47423.0,,,,
211,66837,59283.0,39309.0,46693.0,,,,,,
212,43785,52818.0,67286.0,60954.0,39452.0,,,,,
213,39458,56935.0,61096.0,51350.0,47000.0,42366.0,,,,
214,39459,42692.0,46823.0,50025.0,63627.0,56621.0,60781.0,66227.0,53246.0,
215,51201,60483.0,39460.0,63628.0,66320.0,53522.0,47388.0,,,
216,42563,66374.0,63216.0,47698.0,39481.0,55898.0,,,,
217,53248,66083.0,50026.0,60939.0,56622.0,63632.0,39482.0,46549.0,42714.0,
218,61608,39490.0,47020.0,54826.0,,,,,,
219,47142,39498.0,54187.0,64561.0,59893.0,,,,,
220,54016,60385.0,64013.0,47693.0,39612.0,,,,,
221,47692,53263.0,39729.0,50618.0,60667.0,,,,,
222,47909,66247.0,63626.0,39851.0,59279.0,55479.0,51707.0,,,
223,40057,51361.0,59748.0,,,,,,,
224,60482,40331.0,44205.0,52782.0,63630.0,66388.0,67285.0,49053.0,,
225,48230,64903.0,51882.0,44044.0,40339.0,60824.0,66554.0,57371.0,,
226,40483,67012.0,,,,,,,,
227,66387,60243.0,52115.0,40598.0,,,,,,
228,48108,58001.0,40852.0,63349.0,66873.0,,,,,
229,59552,40963.0,52678.0,45808.0,63473.0,56050.0,,,,
230,45043,40964.0,51382.0,,,,,,,
231,61609,41154.0,50938.0,67353.0,,,,,,
232,47424,42100.0,54976.0,,,,,,,
233,42264,45682.0,50813.0,,,,,,,
234,42848,53733.0,58478.0,66386.0,49331.0,62298.0,,,,
235,66266,55630.0,46711.0,,,,,,,
236,52113,58002.0,46983.0,,,,,,,
237,55762,47579.0,63629.0,67038.0,,,,,,
238,67247,48373.0,61607.0,,,,,,,
239,49832,63472.0,66321.0,60344.0,54486.0,48536.0,,,,
240,49139,56397.0,60342.0,64015.0,,,,,,
241,49329,66798.0,58375.0,,,,,,,
242,54190,49330.0,66899.0,63865.0,59451.0,,,,,
243,56401,53289.0,64267.0,60509.0,,,,,,
244,56532,,,,,,,,,
245,56825,,,,,,,,,
246,58126,,,,,,,,,
247,59600,,,,,,,,,
248,67210,60950.0,,,,,,,,
249,63072,67345.0,,,,,,,,
