,nid,flight_id,flt_num,ifps_id,callsign,airline,airline_type,origin,destination,gcdistance,long_short_dist,sobt,sibt,aircraft_type,mtow,wk_tbl_cat,registration,max_seats,pax_assigned_cc,ecac_200,exclude,prev_flight_nid,source,mandatory,aircraft_id
682,51361,180213380,THY_LTBAEBBR03,AA34942227,THY1939,THY,FSC,LTBA,EBBR,1171,D,2014-09-12 11:50:00,2014-09-12 15:15:00,A321,87,M,TCJRJ,168,155,both,0,40057.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,0,CSN224
683,51382,180213401,THY_LTBALFPG03,AA34948195,THY1819,THY,FSC,LTBA,LFPG,1209,D,2014-09-12 11:00:00,2014-09-12 14:41:00,B738,75,M,TCJHD,151,189,both,0,45043.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN231
684,51471,180213490,THY_LTBAEKCH02,AA34942378,THY7HB,THY,FSC,LTBA,EKCH,1086,D,2014-09-12 11:55:00,2014-09-12 15:10:00,A321,87,M,TCJSJ,168,178,both,0,46063.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN129
685,51472,180213491,THY_LTBALFMN02,AA34942379,THY5WL,THY,FSC,LTBA,LFMN,971,D,2014-09-12 11:55:00,2014-09-12 15:10:00,B738,75,M,TCJGN,151,153,both,0,46689.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN048
686,51490,180213509,THY_LTBALTCF01,AA34946450,THY2YC,THY,FSC,LTBA,LTCF,650,D,2014-09-12 11:55:00,2014-09-12 13:27:00,A319,67,M,TCJUB,110,112,dep,0,42394.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN197
687,51683,180213702,THY_LTAILTAC04,AA34940717,THY7HF,THY,FSC,LTAI,LTAC,220,D,2014-09-12 12:00:00,2014-09-12 12:37:00,B738,75,M,TCSAU,151,131,both,0,48534.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN170
688,51706,180213725,THY_LTBALTAC11,AA34942555,THY2BP,THY,FSC,LTBA,LTAC,198,D,2014-09-12 12:00:00,2014-09-12 12:36:00,B738,75,M,TCJGA,151,162,both,0,42984.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN102
689,51707,180213726,THY_LTACLTBA12,AA34942556,THY6DQ,THY,FSC,LTAC,LTBA,198,D,2014-09-12 12:00:00,2014-09-12 12:47:00,B738,75,M,TCJGP,151,136,both,0,47909.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN223
690,51708,180213727,THY_LTBJLTBA09,AA34942557,THY4QZ,THY,FSC,LTBJ,LTBA,179,D,2014-09-12 12:00:00,2014-09-12 12:55:00,B737,66,M,TCJKK,119,111,both,0,47912.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN198
691,51709,180213728,THY_LTBALTBJ08,AA34942558,THY9AE,THY,FSC,LTBA,LTBJ,179,D,2014-09-12 12:00:00,2014-09-12 12:44:00,B738,75,M,TCJVC,151,140,both,0,46694.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN075
